image_name,buffer,transcript,average_snr,snr_stdv,lower_95_confidence,upper_95_confidence
210209_Image_05,Stellaris,nos-2,6.586194556,3.015860032,6.428530958,6.743858155
210214_Image_01,Stellaris,nos-2,6.065207103,1.605035912,5.954026209,6.176387997
210214_Image_02,Stellaris,nos-2,5.349997689,1.538766243,5.297941513,5.402053865
210214_Image_03,Stellaris,nos-2,5.535163843,1.550039186,5.473503775,5.596823912
210221_Image_03,Stellaris,nos-2,6.410156358,2.051037157,6.311507584,6.508805133
210221_Image_02,Stellaris,nos-2,6.9879349,2.364438548,6.852079191,7.123790608
210221_Image_01,Stellaris,nos-2,5.316103366,1.675794703,5.27674924,5.355457493
210221_Image_04,Stellaris,nos-2,5.408044381,1.657882774,5.362001556,5.454087207
210221_Image_05,Stellaris,nos-2,6.103492305,2.014260102,6.042709531,6.164275079
210221_Image_06,Stellaris,nos-2,6.821682761,2.477027775,6.70196697,6.941398552
210221_Image_07,Stellaris,nos-2,5.717102355,1.860741039,5.665174907,5.769029803
210209_Image_01,Homebrew,nos-2,4.185217894,1.3831855,4.160784192,4.209651596
210209_Image_02,Homebrew,nos-2,4.165130696,1.145459967,4.145257131,4.185004262
210209_Image_03_upper_left,Homebrew,nos-2,5.073387984,1.652262466,5.035657342,5.111118625
210209_Image_03_bottom,Homebrew,nos-2,4.594089522,1.399820552,4.565272664,4.62290638
210209_Image_04,Homebrew,nos-2,3.991397282,1.006122634,3.97370747,4.009087093
210214_Image_01,Homebrew,nos-2,5.55253152,2.051312077,5.491597956,5.613465085
210214_Image_02,Homebrew,nos-2,6.008330416,1.942674796,5.924369843,6.092290988
210214_Image_03,Homebrew,nos-2,4.937020425,1.518875721,4.903236402,4.970804448
210221_Image_01,Homebrew,nos-2,5.957386616,2.033179998,5.886492652,6.028280579
210221_Image_02,Homebrew,nos-2,4.517578625,1.324864237,4.488668642,4.546488609
210221_Image_03,Homebrew,nos-2,5.051650025,1.604285883,5.017104276,5.086195775
210221_Image_04,Homebrew,nos-2,4.85527627,1.507890125,4.824347075,4.886205465
