gene_id	expo_rep1	expo_rep2	stat_rep1	stat_rep2
TK1046	27041	4858	15383	3866
TK1047	2993	458	3415	540
TK1048	6669	1555	6735	1215
TK1049	19042	2387	9786	2519
TK1050	2560	569	3767	1467
TK1051	6092	431	15595	11041
TK1052	646	72	473	55
TK1053	1754	312	1082	137
TK1054	226	31	158	36
TK1055	418	315	697	162
TK1056	5197	1854	5954	1145
TK1057	2178	206	1195	305
TK1058	139	13	51	15
TK1059	2484	295	766	327
TK1060	4342	962	5033	841
TK1061	2645	516	2171	419
TK1062	1222	320	501	109
TK1063	3238	745	2855	931
TK1064	1980	405	872	114
TK1065	202	57	49	9
TK1066	3560	417	227	196
TK1067	1917	185	1162	559
TK1068	656	95	460	117
TK1069	432	31	291	45
TK1070	20	5	21	1
TK1071	2903	408	2381	443
TK1072	509	67	388	45
TK1073	898	162	860	158
TK1074	5421	1103	4031	669
TK1075	570	111	486	93
TK1076	520	73	217	68
TK1077	68448	9413	32404	5454
TK1078	34643	5051	16243	3958
TK1079	17687	2967	6888	1729
TK1080	10888	1507	4533	1182
TK1081	56477	7550	22528	5095
TK1082	77703	8495	28704	5891
TK1083	96665	10250	38810	10927
TK1084	3760	745	1463	611
TK1085	26364	12630	14802	2195
TK1086	7209	1226	2613	435
TK1087	891	141	420	73
TK1088	23966	4091	12556	1855
TK1089	1444	240	1280	251
TK1090	863	201	530	291
TK1091	14291	2085	8953	1612
TK1092	4490	818	3600	746
TK1093	454	93	401	121
TK1094	8050	1475	11689	2284
TK1095	147	25	55	19
TK1096	558	89	362	88
TK1097	326	77	254	763
TK1098	4948	547	3072	743
TK1099	8326	912	4882	1050
TK1100	10656	1997	7099	3004
TK1101	246	53	172	54
TK1102	9594	2028	6605	1395
TK1103	615	74	539	135
TK1104	314	22	304	65
TK1105	84	16	162	38
TK1106	134	30	387	70
TK1107	2039	184	4868	1911
TK1108	8897	1040	6009	1081
TK1109	7373	1064	5698	1415
TK1110	7213	746	2780	782
TK1111	8454	1039	4875	892
TK1112	1712	230	1027	285
TK1113	1281	116	791	165
TK1114	2690	334	1608	372
TK1115	5096	1426	6431	1126
TK1116	1307	186	1061	249
TK1117	80	15	64	24
TK1118	1577	247	1849	314
TK1119	1205	151	1651	296
TK1120	1042	143	826	94
TK1121	122	23	230	917
TK1122	20	4	18	171
TK1123	2482	868	2886	464
TK1124	3847	1245	4808	822
TK1125	5392	1685	5945	1280
TK1126	1473	414	1523	282
TK1127	816	279	769	213
TK1128	498	175	379	137
TK1129	2578	858	2243	754
TK1130	4590	1360	3790	1359
TK1131	1196	367	845	412
TK1132	36	9	42	18
TK1133	920	187	3926	837
TK1134	361	76	1359	266
TK1135	8185	1044	3138	1240
TK1136	3135	561	913	200
TK1137	1765	391	1558	475
TK1138	749	138	316	212
TK1139	228	70	157	59
TK1140	17877	2107	12418	3538
TK1141	1782	345	1023	230
TK1142	371	102	263	83
TK1143	4096	482	1219	33
TK1144	5766	979	1655	59
TK1145	5802	1414	1543	71
TK1146	1320	259	2368	603
TK1147	6435	1460	6172	1110
TK1148	18068	934	5312	2742
TK1149	19629	5930	10636	3982
TK1150	2973	825	3658	394
TK1151	1362	401	1442	186
TK1152	1890	618	2490	358
TK1153	269	44	156	104
TK1154	21	0	13	2
TK1155	121	30	52	603
TK1156	36	0	27	10
TK1157	1321	741	922	7218
TK1158	3217	666	5260	1882
TK1159	101	3	18	14
TK1160	48	3	111	44
TK1161	2119	497	2099	566
TK1162	1990	478	1475	244
TK1163	4591	1006	3240	514
TK1164	2890	746	1939	416
TK1165	6369	675	3920	987
TK1166	1514	314	947	446
TK1167	2908	510	1483	484
TK1168	3114	525	1627	557
TK1169	1948	343	1112	537
TK1170	21642	3947	21331	6160
TK1171	1788	258	1895	422
TK1172	6103	893	6829	1735
TK1173	7029	1311	4367	1078
TK1174	4332	778	2788	802
TK1175	373	89	321	71
TK1176	2658	577	2390	304
TK1177	24167	5658	16538	1934
TK1178	1540	382	1213	304
TK1179	647	81	715	117
TK1180	861	134	1020	229
TK1181	792	215	611	131
TK1182	5750	1326	3288	743
TK1183	1923	568	2177	481
TK1184	137	30	166	18
TK1185	220	28	204	45
TK1186	29289	10371	30679	5148
TK1187	2118	378	2481	246
TK1188	2269	499	2934	447
TK1189	702	181	703	113
TK1190	12368	1453	5399	1402
TK1191	16598	1671	8028	2563
TK1192	2611	512	2527	576
TK1193	18626	1994	9990	3382
TK1194	5227	516	2145	548
TK1195	1875	222	811	221
TK1196	1568	303	919	320
TK1197	477	60	290	65
TK1198	5702	858	3632	614
TK1199	3045	499	1920	421
TK1200	170	29	137	29
TK1201	451	77	1333	215
TK1202	1170	292	662	147
TK1203	629	163	340	77
TK1204	706	228	366	88
TK1205	439	181	476	264
TK1206	168	21	119	37
TK1207	2951	716	3953	725
TK1208	892	200	847	157
TK1209	655	190	4981	1017
TK1210	347	48	139	73
TK1211	529	74	1313	333
TK1212	9144	824	3691	1252
TK1213	1301	277	1674	158
TK1214	7762	1794	6775	324
TK1215	13770	3173	11967	695
TK1216	6724	1521	5209	308
TK1217	6276	1509	4727	320
TK1218	6655	1577	4479	276
TK1219	14267	3216	10689	651
TK1220	12610	3338	9987	621
TK1221	3288	756	2411	99
TK1222	8606	2393	6286	304
TK1223	2942	780	2187	92
TK1224	3406	967	2668	96
TK1225	1473	361	983	44
TK1226	6075	1087	4268	332
TK1227	2035	791	2704	2061
TK1228	12039	1294	1402	416
TK1229	3215	547	5057	1162
TK1230	3928	616	3675	794
TK1231	3595	470	3388	1327
TK1232	6152	823	5572	1307
TK1233	3120	890	2769	482
TK1234	1347	419	1248	217
TK1235	15230	1808	7915	2192
TK1236	280	80	208	101
TK1237	757	213	693	221
TK1238	1162	261	1093	243
TK1239	9526	2225	4573	2363
TK1240	300	67	135	60
TK1241	3398	724	2014	470
TK1242	1319	231	700	75
TK1243	6599	1008	3668	589
TK1244	3808	704	1605	764
TK1245	71131	11791	31678	10189
TK1246	376	156	242	23
TK1247	2901	830	3133	801
TK1248	673	111	625	123
TK1249	3016	632	2829	660
TK1250	3491	160	1878	386
TK1251	41926	3397	20022	5887
TK1252	29226	2998	14751	2673
TK1253	2306	271	1148	163
TK1254	56022	6155	28122	4865
TK1255	2297	264	984	276
TK1256	3040	428	1709	307
TK1257	10107	1362	6465	751
TK1258	2033	401	438	162
TK1259	2183	512	627	321
TK1260	207	40	171	28
TK1261	1336	250	1141	185
TK1262	1250	203	912	206
TK1263	9512	1854	8674	3208
TK1264	18745	3682	14215	6109
TK1265	208	41	115	31
TK1266	1904	426	1459	396
TK1267	2229	269	1333	206
TK1268	15640	2432	9710	1952
TK1269	2381	270	1128	246
TK1270	639	186	639	205
TK1271	252	97	264	88
TK1272	2374	271	1774	552
TK1273	142	21	151	46
TK1274	31933	6394	17818	5948
TK1275	2179	221	723	400
TK1276	41696	5314	19388	5505
TK1277	100	10	1114	134
TK1278	1936	261	834	270
TK1279	3125	486	1230	409
TK1280	23304	2960	12290	3755
TK1281	3456	828	5326	1168
TK1282	1824	611	6539	1827
TK1283	969	109	639	212
TK1284	3625	2621	3513	466
TK1285	2499	513	1804	595
TK1286	14762	1882	7201	1845
TK1287	4255	1479	5210	962
TK1288	4577	866	3357	519
TK1289	12706	3618	1695	244
TK1290	1239	216	527	74
TK1291	1449	336	713	148
TK1292	193190	38928	127348	17195
TK1293	5291	482	2810	410
TK1294	215	25	168	41
TK1295	24624	5760	17416	4209
TK1296	602	113	329	117
TK1297	3839	468	2459	968
TK1298	5595	824	3740	998
TK1299	12173	1942	7494	1203
TK1300	3729	287	2886	418
TK1301	1704	233	1640	257
TK1302	1413	237	1256	272
TK1303	47	10	273	175
TK1304	323	53	2822	990
TK1305	20037	3172	15268	3502
TK1306	492	169	1617	366
TK1307	5954	1365	8395	1544
TK1308	6579	696	13347	2876
TK1309	11336	1759	5741	1423
TK1310	4592	564	2581	452
TK1311	76132	15108	53135	13434
TK1312	9543	2177	9816	1706
TK1313	2341	395	1483	785
TK1314	897	97	536	82
TK1315	3679	391	2682	517
TK1316	1500	288	5735	1457
TK1317	206	28	816	219
TK1318	1411	255	1357	334
TK1319	622	70	319	75
TK1320	8095	745	3360	1143
TK1321	20750	2583	10031	3030
TK1322	8202	822	4743	1174
TK1323	5880	1047	2130	243
TK1324	4430	1241	1967	206
TK1325	49613	14952	38018	1017
TK1326	28513	8679	20746	1003
TK1327	1361	248	1217	219
TK1328	2400	615	1821	476
TK1329	697	223	602	351
TK1330	2784	427	1539	437
TK1331	13468	3595	17377	2940
TK1332	10171	2035	6720	1892
TK1333	286	124	102	68
TK1334	2482	226	992	140
TK1335	1658	184	724	148
TK1336	1541	413	1361	165
TK1337	937	275	938	142
TK1338	172	54	124	20
TK1339	58	23	44	6
TK1340	138	94	97	8
TK1341	376	227	196	25
TK1342	2712	317	1224	664
TK1343	1060	145	859	67
TK1344	406	86	412	132
TK1345	175	10	99	26
TK1346	6	0	2	0
TK1347	62	10	30	3
TK1348	66	6	29	4
TK1349	4	0	2	1
TK1350	25	1	11	1
TK1351	103	9	54	12
TK1352	174	20	78	13
TK1353	800	137	618	234
TK1354	53	16	34	12
TK1355	5	1	2	1
TK1356	18	1	8	2
TK1357	22	3	13	2
TK1358	3	0	0	1
TK1359	17	0	5	1
TK1360	8	0	7	0
TK1361	115	6	53	12
TK1362	579	129	761	117
TK1363	19	0	10	1
TK1364	91	4	55	9
TK1365	3	0	2	1
TK1366	3	1	2	0
TK1367	22	4	22	9
TK1368	5	0	0	1
TK1369	10	1	5	3
TK1370	9	1	14	9
TK1371	12	4	38	6
TK1372	42	12	36	12
TK1373	6	2	9	1
TK1374	7	1	18	0
TK1375	53	6	53	30
TK1376	1174	182	1051	157
TK1377	601	65	618	70
TK1378	1873	223	905	414
TK1379	13932	2845	19779	3206
TK1380	7098	1772	10191	2274
TK1381	11408	1101	4493	221
TK1382	3099	354	1602	421
TK1383	5129	421	2821	607
TK1384	838	89	608	224
TK1385	194	345	374	100
TK1386	284	119	341	133
TK1387	1068	332	1144	373
TK1388	271	57	363	70
TK1389	672	175	870	186
TK1390	605	63	2077	394
TK1391	1367	153	926	193
TK1392	7156	820	5337	1153
TK1393	5208	509	4306	1617
TK1394	46	5	343	63
TK1395	242	27	436	43
TK1396	4762	623	4203	518
